Family name,Scientific name,Depth range (m),Sum of MaxN,Number of deployment ,Max Length (cm)
Acanthuridae,Naso annulatus,25-60,2,1,100
,Naso brevirostris,2-122,6,1,60
,Naso caesius,15-50,12,3,46
,Naso hexacanthus,6-150,11,2,75
,Naso sp.,-,1,1,61
,Naso tonganus,3-20,6,2,60
,Naso vlamingii,1-50,3,1,60
Apogonidae,Ostorhinchus holotaenia,15-35,1,1,8
Ariommatidae,Ariomma indicum,20-300,6,3,25
Aulostomidae,Aulostomus chinensis,3-122,3,3,80
Balistidae,Canthidermis maculatus,1-110,3,3,50
,Pseudobalistes flavimarginatus,2-50,1,1,60
,Pseudobalistes fuscus,30-50,5,2,55
Belonidae,Tylosurus crocodilus,1-13,2,1,150
Blenniidae,Aspidontus dussumieri,1-20,79,60,12
,Aspidontus sp.,-,4,4,12
,Aspidontus taeniatus,1-25,40,30,12
,Plagiotremus tapeinosoma,1-30,2,2,14
Caesionidae,Caesio caerulaurea,1-50,73,2,35
,Caesio teres,5-50,42,2,40
,Pterocaesio digramma,1-50,10,1,30
Carangidae,Alectis ciliaris,60-100,48,8,100
,Alepes apercna,5-80,20,12,30
,Atule mate,1-80,11,8,30
,Carangidae sp.,-,390,134,104
,Carangoides armatus,1-59,25,22,58
,Carangoides chrysophrys,30-60,1,1,72
,Carangoides ferdau,1-60,222,75,70
,Carangoides sp.,-,1,1,67
,Caranx ignobilis,10-188,5,5,170
,Caranx sexfasciatus,1-146,870,230,120
,Decapterus macarellus,1-400,1511,131,46
,Decapterus muroadsi,1-320,1426,80,50
,Decapterus sp.,-,10723,298,48
,Elagatis bipinnulata,1-150,426,71,180
,Naucrates ductor,1-300,58,33,70
,Pseudocaranx dentex,10-238,100,19,122
,Pseudocaranx sp.,-,5,2,122
,Scomberoides lysan,1-100,722,3,110
,Seriola hippos,-,1,1,140
,Seriola lalandi,3-825,106,29,250
,Seriola sp.,-,1,1,200
,Seriolina nigrofasciata,20-150,40,27,70
Carcharhinidae,Carcharhinidae sp.,-,6,6,304
,Carcharhinus albimarginatus,1-800,124,60,300
,Carcharhinus amblyrhynchoides,-,1,1,161
,Carcharhinus amblyrhynchos,1-1000,155,47,255
,Carcharhinus amboinensis,1-150,1,1,280
,Carcharhinus brachyurus,3-360,8,6,325
,Carcharhinus brevipinna,1-100,1,1,300
,Carcharhinus cautus,-,1,1,150
,Carcharhinus falciformis,1-4000,106,66,350
,Carcharhinus galapagensis,1-286,280,35,370
