,SR,TaSharks,MaxL,Depth,Chla_median,Chla_sd,SST_median,SST_sd,pop_50km,pop_500km,Dist_nearest_pop,Dist_nearest_market,HDI,Dcoast_km,DCoralT_km,DistSeamount_km,GDP,Dist_SMT1500,FishingEffort01,FishingEffort05
CH2001,2,3.25,45.11,328,0.126760006,0.034216274,28.7335,0.569423606,0,0,601.3301683,1221.594958,0.697912839,5.608748438,4618.919236,60.72903328,3032.239478,60.72903328,0,0
CH2003,4,3.36,41,377,0.137147993,0.058158376,28.7335,0.569423606,0,0,601.5488393,1221.815805,0.697912839,5.774735365,4618.865618,60.77737327,3032.239478,60.77737327,0,0
CH2004,4,3.31,52.86,494,0.137147993,0.058158376,28.7265,0.570535069,0,0,602.5200409,1222.792277,0.697912839,6.38334452,4618.749196,61.10467588,3032.239478,61.10467588,0,0
CH2005,3,3.31,44.65,494,0.137147993,0.058158376,28.7265,0.570535069,0,0,602.608514,1222.8817,0.697912839,6.449667254,4618.725433,61.12360465,3032.239478,61.12360465,0,0
CH2006,3,3.3,46.91,494,0.137147993,0.058158376,28.7265,0.570535069,0,0,602.7361974,1223.010717,0.697912839,6.545167604,4618.692155,61.15197601,3032.239478,61.15197601,0,0
CH2007,5,3.36,55.53,494,0.137147993,0.058158376,28.7265,0.570535069,0,0,602.8374763,1223.112938,0.697912839,6.618937248,4618.668963,61.1773941,3032.239478,61.1773941,0,0
CH2008,4,3.35,58.78,494,0.137147993,0.058158376,28.7265,0.570535069,0,0,602.9404212,1223.216965,0.697912839,6.697017123,4618.641892,61.20033776,3032.239478,61.20033776,0,0
CH2009,3,3.28,48.3,494,0.137147993,0.058158376,28.7265,0.570535069,0,0,603.0521913,1223.329725,0.697912839,6.77835716,4618.617649,61.22983925,3032.239478,61.22983925,0,0
CH2010,2,3.55,88.33,494,0.137147993,0.058158376,28.7265,0.570535069,0,0,603.1436322,1223.421862,0.697912839,6.842877994,4618.601021,61.25684884,3032.239478,61.25684884,0,0
CH2011,4,3.35,40.82,800,0.179705001,0.151014344,28.7595,0.581922151,0,0,587.2360928,1207.733186,0.697912839,14.18368185,4611.726386,48.83743054,3032.239478,48.83743054,0,0
CH2012,5,3.32,50.5,800,0.179705001,0.151014344,28.7595,0.581922151,0,0,587.0966377,1207.593415,0.697912839,14.25037592,4611.733262,48.79955068,3032.239478,48.79955068,0,0
CH2013,3,3.32,44.45,800,0.179705001,0.151014344,28.7595,0.581922151,0,0,586.9630809,1207.459684,0.697912839,14.30970891,4611.735824,48.75974587,3032.239478,48.75974587,0,0
CH2014,6,3.45,37.5,800,0.179705001,0.151014344,28.7595,0.581922151,0,0,586.8549346,1207.351406,0.697912839,14.35033933,4611.737638,48.72744821,3032.239478,48.72744821,0,0
CH2015,3,3.47,38.15,800,0.179705001,0.151014344,28.77,0.581926006,0,0,585.8682886,1206.361243,0.697912839,14.68088656,4611.825917,48.50812753,3032.239478,48.50812753,0,0
CH2016,5,3.54,45.82,800,0.179705001,0.151014344,28.77,0.581926006,0,0,585.7666462,1206.259434,0.697912839,14.72272627,4611.828934,48.48058898,3032.239478,48.48058898,0,0
CH2017,2,3.42,31.68,368,0.179705001,0.151014344,28.77,0.581926006,0,0,585.6244838,1206.117121,0.697912839,14.78421255,4611.830549,48.43984758,3032.239478,48.43984758,0,0
CH2018,2,3.45,29.2,368,0.179705001,0.151014344,28.77,0.581926006,0,0,585.5203361,1206.012916,0.697912839,14.83116113,4611.830116,48.40864577,3032.239478,48.40864577,0,0
CH2019,4,3.55,42.63,368,0.179705001,0.151014344,28.77,0.581926006,0,0,585.3844754,1205.876931,0.697912839,14.89169092,4611.831087,48.36962648,3032.239478,48.36962648,0,0
CH2020,4,3.35,50.6,368,0.179705001,0.151014344,28.77,0.581926006,0,0,585.2763283,1205.76865,0.697912839,14.93945553,4611.832924,48.33976133,3032.239478,48.33976133,0,0
CH2021,6,3.42,46.23,800,0.152786002,0.051993131,28.7745,0.579945946,0,0,582.9834236,1203.536124,0.697912839,17.68987755,4609.881324,45.83434637,3032.239478,45.83434637,0,0
CH2022,5,3.74,177.29,800,0.152786002,0.051993131,28.7745,0.579945946,0,0,583.0636758,1203.616564,0.697912839,17.65462692,4609.876766,45.85159078,3032.239478,45.85159078,0,0
CH2023,1,3.5,25,387,0.152786002,0.051993131,28.7745,0.579945946,0,0,583.1547083,1203.707134,0.697912839,17.59647484,4609.893361,45.89212431,3032.239478,45.89212431,0,0
CH2024,2,3.45,29.2,387,0.152786002,0.051993131,28.7695,0.581532802,0,0,583.2648523,1203.816829,0.697912839,17.52941582,4609.909844,45.93786915,3032.239478,45.93786915,0,0
CH2026,2,3.63,54.64,387,0.152786002,0.051993131,28.7695,0.581532802,0,0,583.4559179,1204.006829,0.697912839,17.40591416,4609.947679,46.02644645,3032.239478,46.02644645,0,0
CH2027,5,3.38,38.93,387,0.152786002,0.051993131,28.7695,0.581532802,0,0,583.5492505,1204.099649,0.697912839,17.34611272,4609.965897,46.06963267,3032.239478,46.06963267,0,0
CH2028,2,3.61,51.34,387,0.179705001,0.151014344,28.7695,0.581532802,0,0,584.4741631,1205.027364,0.697912839,16.98603356,4609.892986,46.2624849,3032.239478,46.2624849,0,0
CH2029,4,3.56,63.67,387,0.179705001,0.151014344,28.7695,0.581532802,0,0,584.5758986,1205.12862,0.697912839,16.92606095,4609.910353,46.30863338,3032.239478,46.30863338,0,0
